epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,158.989,0.73694,1.2639,2.4391,1.09598,0.01095,0.95,0.56568,0.50215,0.01095,0.95,0.56568,0.48266,0.42065,0.82169,3.51859,0.93763,0.000134209,0.000134209,0.000134209
22,166.021,0.92358,1.80548,2.43312,1.29806,0.01095,0.95,0.56568,0.50215,0.01095,0.95,0.56568,0.48266,0.42065,0.82169,3.51859,0.93763,0.0001363,0.0001363,0.0001363
23,173.123,0.78524,1.30748,2.53218,1.19728,0.01122,0.95,0.57027,0.50664,0.01237,1,0.57374,0.4725,0.41751,0.86853,3.50159,0.92852,0.000137951,0.000137951,0.000137951
24,180.264,0.52586,1.06928,2.57432,1.03414,0.01122,0.95,0.57027,0.50664,0.01237,1,0.57374,0.4725,0.41751,0.86853,3.50159,0.92852,0.000139162,0.000139162,0.000139162
25,187.581,0.64293,1.19053,2.55327,1.14533,0.01248,1,0.64353,0.58503,0.01248,1,0.64708,0.53253,0.41396,0.90884,3.50917,0.9136,0.000139933,0.000139933,0.000139933
26,194.628,0.84419,1.14368,2.39723,1.31802,0.01248,1,0.64353,0.58503,0.01248,1,0.64708,0.53253,0.41396,0.90884,3.50917,0.9136,0.000140264,0.000140264,0.000140264
27,202.019,0.80322,1.3641,2.57281,1.29843,0.01271,1,0.64761,0.59469,0.01271,1,0.65181,0.51347,0.42404,0.97849,3.51786,0.92829,0.000140155,0.000140155,0.000140155
28,209.189,0.64501,1.02362,2.29771,1.11149,0.01271,1,0.64761,0.59469,0.01271,1,0.65181,0.51347,0.42404,0.97849,3.51786,0.92829,0.000139606,0.000139606,0.000139606
29,216.646,0.71848,0.99685,2.18154,1.22259,0.01356,1,0.63233,0.58779,0.01356,1,0.63721,0.50249,0.43231,1.09128,3.53803,0.95081,0.000138617,0.000138617,0.000138617
30,225.096,0.62445,0.92573,2.04051,1.07541,0.01356,1,0.63233,0.58779,0.01356,1,0.63721,0.50249,0.43231,1.09128,3.53803,0.95081,0.000137189,0.000137189,0.000137189
